assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_000412225.2	Complete Genome	Duke University, Molecular Genetics and Microbiology	reference genome	566037	[Ashbya] aceris (nom. inval.)				false	false	true
GCA_963924405.1	Complete Genome	Genoscope CEA	reference genome	148631	[Candida] anglica			France	false	false	true
GCA_019775655.1	Scaffold	Jet Propulsion Laboratory, California Institute of Technology		148631	[Candida] anglica			USA	false	false	true
GCA_030557785.1	Scaffold	UW-Madison		148631	[Candida] anglica			USA	false	false	true
GCA_054123955.1	Scaffold	Genoscope		148631	[Candida] anglica			France	false	false	true
GCA_963924395.1	Scaffold	Genoscope CEA		148631	[Candida] anglica			United Kingdom	false	false	true
GCA_963924415.1	Scaffold	Genoscope CEA		148631	[Candida] anglica			France	false	false	true
GCA_963924425.1	Scaffold	Genoscope CEA		148631	[Candida] anglica			France	false	false	true
GCA_030566955.1	Scaffold	UW-Madison	reference genome	224212	[Candida] anutae			USA	false	false	true
GCA_030581555.1	Scaffold	UW-Madison	reference genome	1016838	[Candida] argentea			USA	false	false	true
GCA_030674335.1	Scaffold	UW-Madison	reference genome	391823	[Candida] ascalaphidarum			USA	false	false	true
GCA_003708745.2	Scaffold	UW-Madison		391823	[Candida] ascalaphidarum			USA	false	false	true
GCA_037935595.1	Complete Genome	Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences	reference genome	5477	[Candida] boidinii			China	false	false	true
GCA_001442605.1	Scaffold	University of Campinas		5477	[Candida] boidinii	-9.9688506	-37.26560899	Brazil	false	true	true
GCA_001599335.1	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies		5477	[Candida] boidinii				false	false	true
GCA_002007985.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002007995.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Spain	false	false	true
GCA_002008015.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002008025.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002008065.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Spain	false	false	true
GCA_002008075.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002008085.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Brazil	false	false	true
GCA_002008095.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Russia	false	false	true
GCA_002864065.1	Scaffold	University of Aberystwyth		5477	[Candida] boidinii			Spain	false	false	true
GCA_003243125.1	Scaffold	UW-Madison		5477	[Candida] boidinii				false	false	true
GCA_023629675.1	Scaffold	Dalian Medical University		5477	[Candida] boidinii	38.914	121.6147	China	false	true	true
GCA_030267585.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267665.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267685.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267825.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267845.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			USSR	false	false	true
GCA_030267865.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030567695.1	Scaffold	UW-Madison		5477	[Candida] boidinii			USA	false	false	true
GCA_037041165.1	Scaffold	Dalian Medical University		5477	[Candida] boidinii	38.914	121.6147	China	false	true	true
GCA_964186685.1	Scaffold	Instituto de Bioengenharia e Biociencias, Instituto Superior Tecnico		5477	[Candida] boidinii			Portugal	false	false	true
GCA_030571295.1	Scaffold	UW-Madison	reference genome	933257	[Candida] citri			USA	false	false	true
GCA_030579135.1	Scaffold	UW-Madison	reference genome	1041602	[Candida] danieliae			USA	false	false	true
GCA_003707735.2	Scaffold	UW-Madison	reference genome	64417	[Candida] freyschussii			USA	false	false	true
GCA_030572315.1	Scaffold	UW-Madison	reference genome	45606	[Candida] glucosophila			USA	false	false	true
GCA_030582695.1	Scaffold	UW-Madison	reference genome	1323752	[Candida] golubevii			USA	false	false	true
GCA_003708755.1	Scaffold	UW-Madison		1323752	[Candida] golubevii			USA	false	false	true
GCA_030561765.1	Scaffold	UW-Madison	reference genome	487106	[Candida] hainanensis			USA	false	false	true
GCA_002370145.1	Scaffold	University of Guelph	reference genome	1807681	[Candida] ipomoeae			Costa Rica	false	false	true
GCA_002370905.1	Scaffold	University of Guelph		1807681	[Candida] ipomoeae			Costa Rica	false	false	true
