submitter_name	institute_name_ror	ror_id	country	lat	lon	has_ror_match	has_coordinates	match_method	assembly_count
WELLCOME SANGER INSTITUTE	Wellcome Sanger Institute	https://ror.org/05cy4wa09	United Kingdom	52.2	0.11667	true	true	affiliation_chosen	8747
Iridian Genomes	Iridian Genomes	https://ror.org/045qred77	United States	38.98067	-77.10026	true	true	affiliation_chosen	2946
DOE Joint Genome Institute	Joint Genome Institute	https://ror.org/04xm1d337	United States	37.87159	-122.27275	true	true	affiliation_chosen	1382
UW-Madison	University of Wisconsin–Madison	https://ror.org/01y2jtd41	United States	43.07305	-89.40123	true	true	dump_exact_name	1213
Florida Museum of Natural History	Florida Museum of Natural History	https://ror.org/02pjdv450	United States	29.65163	-82.32483	true	true	affiliation_chosen	830
Vertebrate Genomes Project						false	false	none	753
Dalian Medical University	Dalian Medical University	https://ror.org/04c8eg608	China	38.91222	121.60222	true	true	affiliation_chosen	717
USDA	United States Department of Agriculture	https://ror.org/01na82s61	United States	38.89511	-77.03637	true	true	query_exact	547
"""CICHLID~X"""						false	false	none	539
Genoscope	Genoscope	https://ror.org/028pnqf58	France	48.63389	2.44417	true	true	affiliation_chosen	537
NHGRI/NIH	National Human Genome Research Institute	https://ror.org/00baak391	United States	38.98067	-77.10026	true	true	dump_segment	530
Broad Institute	Broad Institute	https://ror.org/05a0ya142	United States	42.3751	-71.10561	true	true	affiliation_chosen	522
Bird 10,000 Genomes (B10K) consortium						false	false	none	510
USDA-ARS	Agricultural Research Service	https://ror.org/02d2m2044	United States	38.89511	-77.03637	true	true	dump_alias_lookup	456
Academia Sinica	Academia Sinica	https://ror.org/05bxb3784	Taiwan	25.05306	121.52639	true	true	affiliation_chosen	455
UCSC Genomics Institute	University of California, Santa Cruz	https://ror.org/03s65by71	United States	36.97412	-122.0308	true	true	dump_alias_lookup	454
Helmholtz Centre for Environmental Research - UFZ	Helmholtz Centre for Environmental Research	https://ror.org/000h6jb29	Germany	51.33962	12.37129	true	true	affiliation_chosen	449
Canada's national platform for genome sequencing and analysis						false	false	none	439
China Agricultural University	China Agricultural University	https://ror.org/04v3ywz14	China	39.9075	116.39723	true	true	affiliation_chosen	402
USDA-ARS-NCAUR	National Center for Agricultural Utilization Research	https://ror.org/02gbdhj19	United States	40.69365	-89.58899	true	true	dump_segment	402
Los Angeles County Public Health Lab microbial pathogen submission group	Public Health Laboratory	https://ror.org/04gvvdt54	Macao	22.20056	113.54611	true	true	affiliation_chosen	393
University of Utah	University of Utah	https://ror.org/03r0ha626	United States	40.76078	-111.89105	true	true	affiliation_chosen	380
Cornell University	Cornell University	https://ror.org/05bnh6r87	United States	42.44063	-76.49661	true	true	affiliation_chosen	374
University of California, San Francisco	University of California, San Francisco	https://ror.org/043mz5j54	United States	37.77493	-122.41942	true	true	affiliation_chosen	371
Center for Evolutionary Hologenomics, University of Copenhagen	University of Copenhagen	https://ror.org/035b05819	Denmark	55.67594	12.56553	true	true	affiliation_chosen	352
Stanford University	Stanford University	https://ror.org/00f54p054	United States	37.42411	-122.16608	true	true	affiliation_chosen	350
Spribille Lab						false	false	none	343
AUSTRALIAN NATIONAL UNIVERSITY	Australian National University	https://ror.org/019wvm592	Australia	-35.28346	149.12807	true	true	affiliation_chosen	341
Agriculture and Agri-Food Canada	Agriculture and Agri-Food Canada	https://ror.org/051dzs374	Canada	45.41117	-75.69812	true	true	affiliation_chosen	316
Wageningen University and Research	Wageningen University & Research	https://ror.org/04qw24q55	The Netherlands	51.97	5.66667	true	true	affiliation_chosen	306
Institute Of Microbiology Chinese Academy of Sciences	Chinese Academy of Sciences	https://ror.org/034t30j35	China	39.9075	116.39723	true	true	affiliation_chosen	303
Jet Propulsion Laboratory, California Institute of Technology	California Institute of Technology	https://ror.org/05dxps055	United States	34.14778	-118.14452	true	true	affiliation_chosen	295
ibps sorbonne universite	Sorbonne Université	https://ror.org/02en5vm52	France	48.85341	2.3488	true	true	affiliation_chosen	269
B10K Consortium						false	false	none	266
IRIDIAN GENOMES	Iridian Genomes	https://ror.org/045qred77	United States	38.98067	-77.10026	true	true	affiliation_chosen	263
Harvard University	Harvard University	https://ror.org/03vek6s52	United States	42.3751	-71.10561	true	true	affiliation_chosen	262
Northwestern University Feinberg School of Medicine	Northwestern University	https://ror.org/000e0be47	United States	42.04114	-87.69006	true	true	dump_alias_lookup	262
Quadram Institute Bioscience	Quadram Institute	https://ror.org/04td3ys19	United Kingdom	52.62783	1.29834	true	true	affiliation_chosen	255
Leibniz-HKI	Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. - Hans-Knöll-Institut (HKI)	https://ror.org/055s37c97	Germany	50.92878	11.5899	true	true	dump_exact_name	252
LOEWE Centre for Translational Biodiversity Genomics	LOEWE Centre for Translational Biodiversity Genomics	https://ror.org/0396gab88	Germany	50.11552	8.68417	true	true	affiliation_chosen	251
UCLA	University of California, Los Angeles	https://ror.org/046rm7j60	United States	34.05223	-118.24368	true	true	dump_exact_acronym	237
Chinese Academy of Agricultural Sciences	Chinese Academy of Agricultural Sciences	https://ror.org/0313jb750	China	39.9075	116.39723	true	true	affiliation_chosen	226
INRAE - GeT-PlaGe	Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement	https://ror.org/003vg9w96	France	48.85341	2.3488	true	true	dump_segment	225
Genoscope CEA	Genoscope	https://ror.org/028pnqf58	France	48.63389	2.44417	true	true	dump_contained_name	223
University of California, Berkeley	University of California, Berkeley	https://ror.org/01an7q238	United States	37.87159	-122.27275	true	true	affiliation_chosen	219
Leibniz Institute of Plant Genetics and Crop Plant Research	Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK)	https://ror.org/02skbsp27	Germany	51.82215	11.28661	true	true	affiliation_chosen	216
National Parks Board Singapore	National Parks Board	https://ror.org/046qg1023	Singapore	1.28967	103.85007	true	true	affiliation_chosen	210
Northwest A&F University	Northwest A&F University	https://ror.org/0051rme32	China	34.27173	108.07891	true	true	affiliation_chosen	207
BGI	BGI Group (China)	https://ror.org/045pn2j94	China	22.54554	114.0683	true	true	dump_exact_acronym	204
AGRIBIO, CENTRE FOR AGRIBIOSCIENC	AgriBio	https://ror.org/042kgb568	Australia	-37.814	144.96332	true	true	dump_segment	202
Shandong Agricultural University	Shandong Agricultural University	https://ror.org/02ke8fw32	China	36.18528	117.12	true	true	affiliation_chosen	200
B10K project						false	false	none	199
Cook Lab - University of California at Davis	University of California, Davis	https://ror.org/05rrcem69	United States	38.54491	-121.74052	true	true	dump_segment	195
IBE(CSIC-UNIVERSITAT POMPEU FABRA)	Universitat Pompeu Fabra	https://ror.org/04n0g0b29	Spain	41.38879	2.15899	true	true	affiliation_chosen	192
Duke University	Duke University	https://ror.org/00py81415	United States	35.99403	-78.89862	true	true	affiliation_chosen	186
University College Dublin	University College Dublin	https://ror.org/05m7pjf47	Ireland	53.33306	-6.24889	true	true	affiliation_chosen	185
US Department of Agriculture, Agriculture Research Service	Agricultural Research Service	https://ror.org/02d2m2044	United States	38.89511	-77.03637	true	true	dump_alias_lookup	184
Fujian Agriculture and Forestry University	Fujian Agriculture and Forestry University	https://ror.org/04kx2sy84	China	26.06139	119.30611	true	true	affiliation_chosen	177
Biotechnical Faculty, University of Ljubljana	University of Ljubljana	https://ror.org/05njb9z20	Slovenia	46.05108	14.50513	true	true	affiliation_chosen	176
Peking University Institute of Advanced Agricultural Sciences	Peking University	https://ror.org/02v51f717	China	39.9075	116.39723	true	true	affiliation_chosen	176
CNRS	Centre National de la Recherche Scientifique	https://ror.org/02feahw73	France	48.85341	2.3488	true	true	dump_exact_acronym	175
yeast genomics lab@nova, unl, portugal	Universidade Nova de Lisboa	https://ror.org/02xankh89	Portugal	38.72509	-9.1498	true	true	web_verified	175
SC						false	false	none	170
University of Queensland	The University of Queensland	https://ror.org/00rqy9422	Australia	-27.46794	153.02809	true	true	affiliation_chosen	166
University of Kentucky	University of Kentucky	https://ror.org/02k3smh20	United States	37.98869	-84.47772	true	true	query_exact	164
Beijing Forestry University	Beijing Forestry University	https://ror.org/04xv2pc41	China	39.9075	116.39723	true	true	affiliation_chosen	162
University of Pennsylvania	University of Pennsylvania	https://ror.org/00b30xv10	United States	39.95238	-75.16362	true	true	affiliation_chosen	162
University of Warmia and Mazury in Olsztyn	University of Warmia and Mazury in Olsztyn	https://ror.org/05s4feg49	Poland	53.77995	20.49416	true	true	affiliation_chosen	162
VIB/KULeuven	Vlaams Instituut voor Biotechnologie	https://ror.org/03xrhmk39	Belgium	51.05	3.71667	true	true	dump_alias_lookup	157
Curtin University of Technology	Curtin University	https://ror.org/02n415q13	Australia	-31.95224	115.8614	true	true	dump_exact_name	154
University of Wisconsin-Madison	University of Wisconsin–Madison	https://ror.org/01y2jtd41	United States	43.07305	-89.40123	true	true	affiliation_chosen	152
INRA	Institut National de la Recherche Agronomique	https://ror.org/05y503v71	Morocco	34.01325	-6.83255	true	true	query_exact	150
RIKEN Center for Life Science Technologies, Division of Genomic Technologies	Eyegaze (United States)	https://ror.org/007gcc553	United States	38.84622	-77.30637	true	true	affiliation_chosen	150
Huazhong Agricultural University	Huazhong Agricultural University	https://ror.org/023b72294	China	30.58333	114.26667	true	true	affiliation_chosen	148
United States Department of Agriculture	United States Department of Agriculture	https://ror.org/01na82s61	United States	38.89511	-77.03637	true	true	affiliation_chosen	147
CAM						false	false	none	141
Nanjing Agricultural University	Nanjing Agricultural University	https://ror.org/05td3s095	China	32.06167	118.77778	true	true	affiliation_chosen	141
Yunnan Agricultural University	Yunnan Agricultural University	https://ror.org/04dpa3g90	China	25.03889	102.71833	true	true	affiliation_chosen	140
GAGA						false	false	none	137
University of Georgia	University of Georgia	https://ror.org/00te3t702	United States	33.96095	-83.37794	true	true	dump_exact_name	137
Zhejiang University	Zhejiang University	https://ror.org/00a2xv884	China	30.29365	120.16142	true	true	affiliation_chosen	137
European Bioinformatics Institute	European Bioinformatics Institute	https://ror.org/02catss52	United Kingdom	52.2	0.11667	true	true	affiliation_chosen	130
University of California, Riverside	University of California, Riverside	https://ror.org/03nawhv43	United States	33.95335	-117.39616	true	true	affiliation_chosen	130
University of Guelph	University of Guelph	https://ror.org/01r7awg59	Canada	43.54594	-80.25599	true	true	affiliation_chosen	130
BGI Research	BGI Research	https://ror.org/05gsxrt27	China	22.54554	114.0683	true	true	affiliation_chosen	128
Institute of Microbiology						false	false	none	128
Chinese Academy of Sciences	Chinese Academy of Sciences	https://ror.org/034t30j35	China	39.9075	116.39723	true	true	affiliation_chosen	127
University of Michigan	University of Michigan	https://ror.org/00jmfr291	United States	42.27756	-83.74088	true	true	affiliation_chosen	126
Institute of Microbiology, Chinese Academy of Sciences	Chinese Academy of Sciences	https://ror.org/034t30j35	China	39.9075	116.39723	true	true	affiliation_chosen	121
Technical University of Denmark	Technical University of Denmark	https://ror.org/04qtj9h94	Denmark	55.77044	12.50378	true	true	affiliation_chosen	118
Tokyo Institute of Technology	Institute of Science Tokyo	https://ror.org/05dqf9946	Japan	35.6895	139.69171	true	true	dump_exact_name	118
INRAE	Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement	https://ror.org/003vg9w96	France	48.85341	2.3488	true	true	query_exact	116
max planck institute for biology tuebingen	Max Planck Institute for Biology	https://ror.org/0243gzr89	Germany	48.52266	9.05222	true	true	affiliation_chosen	115
Evan Eichler						false	false	none	114
university of nottingham	University of Nottingham	https://ror.org/01ee9ar58	United Kingdom	52.9536	-1.15047	true	true	affiliation_chosen	114
BGI-Shenzhen	BGI Group (China)	https://ror.org/045pn2j94	China	22.54554	114.0683	true	true	dump_alias_lookup	113
South China Agricultural University	South China Agricultural University	https://ror.org/05v9jqt67	China	23.11667	113.25	true	true	affiliation_chosen	113
University of Florida	University of Florida	https://ror.org/02y3ad647	United States	29.65163	-82.32483	true	true	affiliation_chosen	113
University of Oxford	University of Oxford	https://ror.org/052gg0110	United Kingdom	51.75222	-1.25596	true	true	affiliation_chosen	112
Ecologie, Systematique et Evolution	Ecologie, Société, Evolution	https://ror.org/00kk89y84	France	48.69572	2.18727	true	true	dump_fuzzy	111
Seoul National University	Seoul National University	https://ror.org/04h9pn542	South Korea	37.566	126.9784	true	true	affiliation_chosen	111
