taxid	parent_taxid	assemblies_count	biosamples_count	institutes_count	countries_count	biosamples_with_coordinates_count	rank	scientific_name
2759		68660	68660	5697	246	21704	domain	Eukaryota
33154	2759	55860	55860	4393	242	18691	clade	Opisthokonta
33208	33154	29790	29790	2523	216	10856	kingdom	Metazoa
6072	33208	29558	29558	2517	216	10644	clade	Eumetazoa
33213	6072	29015	29015	2474	215	10401	clade	Bilateria
33511	33213	14893	14893	1455	177	2985	clade	Deuterostomia
7711	33511	14689	14689	1419	177	2913	phylum	Chordata
89593	7711	14552	14552	1403	177	2826	subphylum	Craniata
7742	89593	14552	14552	1403	177	2826	clade	Vertebrata
7776	7742	14516	14516	1399	177	2809	clade	Gnathostomata
117570	7776	14382	14382	1381	176	2739	clade	Teleostomi
117571	117570	14382	14382	1381	176	2739	clade	Euteleostomi
8287	117571	10345	10345	950	155	1878	superclass	Sarcopterygii
1338369	8287	10341	10341	950	154	1876	clade	Dipnotetrapodomorpha
32523	1338369	10335	10335	949	154	1876	clade	Tetrapoda
32524	32523	9976	9976	923	153	1747	clade	Amniota
40674	32524	5610	5610	615	107	609	class	Mammalia
32525	40674	5603	5603	615	107	607	clade	Theria
9347	32525	5202	5202	605	103	594	clade	Eutheria
1437010	9347	5128	5128	598	102	566	clade	Boreoeutheria
314146	1437010	3543	3543	302	65	206	superorder	Euarchontoglires
9443	314146	3049	3049	150	48	89	order	Primates
376913	9443	2968	2968	142	47	79	suborder	Haplorrhini
314293	376913	2961	2961	142	47	77	infraorder	Simiiformes
9526	314293	2820	2820	128	44	10	parvorder	Catarrhini
314295	9526	2654	2654	97	35	2	superfamily	Hominoidea
9604	314295	2628	2628	93	35	2	family	Hominidae
207598	9604	2615	2615	88	35	1	subfamily	Homininae
9605	207598	2574	2574	75	32	1	genus	Homo
9606	9605	2574	2574	75	32	1	species	Homo sapiens
9596	207598	22	22	9	4	0	genus	Pan
9598	9596	14	14	7	4	0	species	Pan troglodytes
37012	9598	1	1	1	0	0	subspecies	Pan troglodytes verus
9597	9596	8	8	4	0	0	species	Pan paniscus
9592	207598	19	19	11	3	0	genus	Gorilla
9593	9592	15	15	9	2	0	species	Gorilla gorilla
9595	9593	13	13	7	2	0	subspecies	Gorilla gorilla gorilla
499232	9592	4	4	2	1	0	species	Gorilla beringei
1159185	499232	3	3	1	1	0	subspecies	Gorilla beringei beringei
607660	9604	13	13	8	2	1	subfamily	Ponginae
9599	607660	13	13	8	2	1	genus	Pongo
9601	9599	8	8	5	1	0	species	Pongo abelii
9600	9599	5	5	4	1	1	species	Pongo pygmaeus
9577	314295	26	26	9	0	0	family	Hylobatidae
325165	9577	12	12	5	0	0	genus	Nomascus
61853	325165	6	6	3	0	0	species	Nomascus leucogenys
9586	325165	3	3	2	0	0	species	Nomascus siki
1616038	325165	1	1	1	0	0	species	Nomascus annamensis
29089	325165	1	1	1	0	0	species	Nomascus concolor
61852	325165	1	1	1	0	0	species	Nomascus gabriellae
9578	9577	6	6	3	0	0	genus	Hylobates
9588	9578	2	2	1	0	0	species	Hylobates muelleri
716694	9588	1	1	1	0	0	subspecies	Hylobates muelleri abbotti
9579	9578	1	1	1	0	0	species	Hylobates agilis
9587	9578	1	1	1	0	0	species	Hylobates klossii
81572	9578	1	1	1	0	0	species	Hylobates moloch
9589	9578	1	1	1	0	0	species	Hylobates pileatus
325166	9577	5	5	3	0	0	genus	Symphalangus
9590	325166	5	5	3	0	0	species	Symphalangus syndactylus
325167	9577	3	3	2	0	0	genus	Hoolock
593543	325167	3	3	2	0	0	species	Hoolock leuconedys
314294	9526	166	166	45	16	8	superfamily	Cercopithecoidea
9527	314294	166	166	45	16	8	family	Cercopithecidae
9528	9527	113	113	39	14	6	subfamily	Cercopithecinae
9539	9528	53	53	28	9	4	genus	Macaca
9544	9539	15	15	12	2	0	species	Macaca mulatta
9541	9539	14	14	9	2	0	species	Macaca fascicularis
9545	9539	4	4	3	2	2	species	Macaca nemestrina
9540	9539	2	2	2	1	1	species	Macaca arctoides
